researcher_id,first_name,last_name,field,institution,joined_year,h_index,publications_count,is_active,country,email,pub_id,title,year,citations,journal,open_access,grant_id,funding_body,year_awarded,amount_cad,project_title,status
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P031,Federated Learning for Privacy Preservation,2021,157,Nature Machine Intelligence,True,G011,CFI,2016,55000.0,Ethical AI,completed
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P031,Federated Learning for Privacy Preservation,2021,157,Nature Machine Intelligence,True,G018,SSHRC,2017,75000.0,AI for Climate,pending
R003,Miguel,Torres,Computer Vision,University of Waterloo,2010,21,126,True,Jordan,miguel.torres@pssar.ca,P015,Causal Inference with Observational Data,2017,128,NeurIPS,False,G008,CFI,2023,45000.0,Ethical AI,completed
R003,Miguel,Torres,Computer Vision,University of Waterloo,2010,21,126,True,Jordan,miguel.torres@pssar.ca,P015,Causal Inference with Observational Data,2017,128,NeurIPS,False,G013,CIHR,2016,95000.0,Healthcare NLP,completed
R003,Miguel,Torres,Computer Vision,University of Waterloo,2010,21,126,True,Jordan,miguel.torres@pssar.ca,P015,Causal Inference with Observational Data,2017,128,NeurIPS,False,G015,Mitacs,2022,120000.0,Healthcare NLP,active
R012,Sara,Omar,Bioinformatics,University of Waterloo,2019,17,102,True,Palestine,sara.omar@pssar.ca,P013,Efficient Data Pipelines at Scale,2019,194,ACL,False,G002,SSHRC,2022,50000.0,Data for Good,pending
R027,Elif,Yildiz,Computer Vision,Oxford,2012,7,28,False,UK,elif.yildiz@university.edu,P044,Self-Supervised Learning in Vision,2010,179,Nature Machine Intelligence,True,G003,Mitacs,2016,100000.0,Ethical AI,completed
R027,Elif,Yildiz,Computer Vision,Oxford,2012,7,28,False,UK,elif.yildiz@university.edu,P044,Self-Supervised Learning in Vision,2010,179,Nature Machine Intelligence,True,G028,CFI,2016,80000.0,Healthcare NLP,active
R034,Isabela,Silva,NLP,Oxford,2011,13,52,False,Canada,isabela.silva@university.edu,P029,Deep Learning for Medical Imaging,2020,20,ACL,True,G022,SSHRC,2015,45000.0,Multilingual Models,active
R034,Isabela,Silva,NLP,Oxford,2011,13,52,False,Canada,isabela.silva@university.edu,P037,Self-Supervised Learning in Vision,2019,129,NeurIPS,False,G022,SSHRC,2015,45000.0,Multilingual Models,active
R021,Carlos,Ramos,Data Engineering,Oxford,2012,12,36,False,France,carlos.ramos@university.edu,P042,Uncertainty Quantification in Neural Networks,2011,65,ICLR,False,G006,CFI,2017,60000.0,Ethical AI,pending
R021,Carlos,Ramos,Data Engineering,Oxford,2012,12,36,False,France,carlos.ramos@university.edu,P042,Uncertainty Quantification in Neural Networks,2011,65,ICLR,False,G020,NSERC,2022,80000.0,Ethical AI,completed
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P039,Efficient Data Pipelines at Scale,2019,25,ICML,True,G001,SSHRC,2022,75000.0,Data for Good,active
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P039,Efficient Data Pipelines at Scale,2019,25,ICML,True,G016,Mitacs,2015,50000.0,AI for Climate,pending
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P039,Efficient Data Pipelines at Scale,2019,25,ICML,True,G027,CFI,2021,95000.0,Multilingual Models,pending
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P023,Transformer Models in Low-Resource Settings,2011,127,ICML,False,G001,SSHRC,2022,75000.0,Data for Good,active
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P023,Transformer Models in Low-Resource Settings,2011,127,ICML,False,G016,Mitacs,2015,50000.0,AI for Climate,pending
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P023,Transformer Models in Low-Resource Settings,2011,127,ICML,False,G027,CFI,2021,95000.0,Multilingual Models,pending
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P054,Deep Learning for Medical Imaging,2023,68,Nature Machine Intelligence,False,G001,SSHRC,2022,75000.0,Data for Good,active
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P054,Deep Learning for Medical Imaging,2023,68,Nature Machine Intelligence,False,G016,Mitacs,2015,50000.0,AI for Climate,pending
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P054,Deep Learning for Medical Imaging,2023,68,Nature Machine Intelligence,False,G027,CFI,2021,95000.0,Multilingual Models,pending
R009,Fatima,Siddiqui,Machine Learning,York University,2016,20,80,True,Lebanon,fatima.siddiqui@pssar.ca,P059,Bias in NLP Benchmarks: A Critical Review,2010,68,JMLR,False,G026,CFI,2019,85000.0,Data for Good,pending
R009,Fatima,Siddiqui,Machine Learning,York University,2016,20,80,True,Lebanon,fatima.siddiqui@pssar.ca,P004,Deep Learning for Medical Imaging,2017,179,Nature Machine Intelligence,True,G026,CFI,2019,85000.0,Data for Good,pending
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P025,Bias in NLP Benchmarks: A Critical Review,2023,20,JMLR,False,G021,Mitacs,2017,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P045,Federated Learning for Privacy Preservation,2017,52,ICLR,False,G021,Mitacs,2017,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P030,Efficient Data Pipelines at Scale,2014,60,ACL,True,G021,Mitacs,2017,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P038,Graph Neural Networks for Molecule Prediction,2018,42,JMLR,True,G021,Mitacs,2017,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P034,Transformer Models in Low-Resource Settings,2012,127,NeurIPS,False,G021,Mitacs,2017,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P003,Multi-lingual BERT Fine-Tuning,2012,171,ICLR,True,G021,Mitacs,2017,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P033,Federated Learning for Privacy Preservation,2013,190,JMLR,True,G021,Mitacs,2017,100000.0,Ethical AI,completed
